11,Cefixime 400 _ 100,400,100,0,3,cefixime 400mg,,,,,
12,Tamerin 100 _ 30,100,30,0,3,aspirin 100mg ( fruit-taste ),أدوية الجهاز الحركي,"يسكن الألم ويخفض الحرارة [1-2 مضغوطة كل 4-6 ساعات]، مضاد تكدس صفيحات الدم [0.5-1 مضغوطة /يوم]","حكة، غثيان، إسهال، إطالة زمن النزف","الحمل، الأطفال دون 12 سنة، الربو القصبي، القصور الكبدي، القصور الكلوي، الكحول، أورام الغشاء المخاطي للأنف، المعرضين لعسر الهضم","مضادات التخثر، خافضات سكر الدم الفموية، الميتوتريكسات"
13,Pyrazinamide 500 _ 100,500,100,0,3,pyrazinamide 500mg,,,,,
14,Dimaparpital 15 _ 20,15,20,0,4,phenobarbital 15mg,,,,,
15,Dimaparpital 100 _ 20,100,20,0,4,phenobarbital 100mg,,,,,
16,Dimafer 200 _ 20,200,20,0,4,Fe fumarate 200mg 65mg Fe++,المحاليل الوريدية والأملاح المعدنية,"معالجة فقر الدم بنقص الحديد [للكبار 200 ملغ 3ـ4 مرات/يوم، الأطفال 200 ملغ 2ـ3 مرات/يوم خلال الوجبات]","اضطرابات هضمية، إمساك","زيادة نسبة الحديد(التصبغ الدموي، الثلاسيميا، عدم تنسج كريات الدم الحمراء)، يتدخل الحديد في فحوص تحري الدم في البراز","التتراسيكلين، الأمبيسلين، الكلورامفينيكول، الليفودويا"
17,Dimadol 500 _ 500,500,500,0,4,paracetamol 500mg,مضادات الألم,"تسكين الألم وتخفيض الحرارة لاسيما عند المرضى المتحسسين للأسبرين أو لديهم استعداد للنزف [الرضع دون 3 أشهر 10 ملغ/كغ /يوم، 3 أشهر – سنة 60-120 ملغ أو نصف ملعقة صغيرة 3-4 مرات /يوم، 1-5 سنوات 120-250 ملغ أو ملعقة صغيرة 3-4 مرات /يوم، 6-12 سنة 250 ملغ أو ملعق","طفح جلدي، اندفاعات تحسسية، نقص صفيحات الدم، نقص الكريات البيض","القصور الكلوي، القصور الكبدي، الذين لديهم استعداد للنزف (قرحة، التهاب معدة)","مضادات التخثر، الدومبيريدون، الميتوكلوبراميد، الكولسترامين"
18,Dimacort 5 _ 20,5,20,0,4,prednisolone 5mg,الأدوية العينية,"االالتهابات المستجيبة للستيروئيدات في الملتحمة الجفنية والبصلية، والقرنية، والقسم الأمامي من المقلة (التهاب الملتحمة التحسسي، العد الوردي، التهاب القرنية المنفط السطحي، التهاب القرنية الحلئي النطاقي، التهاب القزحية، التهاب الجسم الهدبي)، أذيات القرنية (ا","إنتانات ثانوية، ارتفاع الضغط داخل العين، نادراً شعور بالوخز وحرقة","الحمل، الإرضاع، الأطفال، قد يسبب الاستعمال المديد (زرق مع أذية العصب البصري، خلل في حدة البصر، تشكل الساد تحت المحفظي الخلفي، انثقاب في القرنية والصلبة عند المصابين بترققهما)، مراقبة الضغط داخل العين عند استخدامه لأكثر من 10 أيام",
19,Dimabarbital 100 _ 100,100,100,0,4,phenobarbital 100mg,أدوية الجهاز العصبي المركزي,"الصرع المعمم والجزئي، الوقاية من الاختلاجات الحرورية عند الأطفال، مهدىء، منوم[للكبار 60-180 ملغ/يوم، الأطفال 5-8ملغ/كغ/يوم]","السبات الباربيتوري، دوار","عدم قيادة الآليات، الكحول، القصور الكلوي، القصور الكبدي، الحمل، الإرضاع، مراعاة الإيقاف التدريجي، البورفيريا",
20,Dimabarbital 15 _ 200,15,200,0,4,phenobarbital 15mg,أدوية الجهاز العصبي المركزي,"الصرع المعمم والجزئي، الوقاية من الاختلاجات الحرورية عند الأطفال، مهدىء، منوم[للكبار 60-180 ملغ/يوم، الأطفال 5-8ملغ/كغ/يوم]","السبات الباربيتوري، دوار","عدم قيادة الآليات، الكحول، القصور الكلوي، القصور الكبدي، الحمل، الإرضاع، مراعاة الإيقاف التدريجي، البورفيريا",
21,Dimabarbital 50 _ 200,50,200,0,4,phenobarbital 50mg,أدوية الجهاز العصبي المركزي,"الصرع المعمم والجزئي، الوقاية من الاختلاجات الحرورية عند الأطفال، مهدىء، منوم[للكبار 60-180 ملغ/يوم، الأطفال 5-8ملغ/كغ/يوم]","السبات الباربيتوري، دوار","عدم قيادة الآليات، الكحول، القصور الكلوي، القصور الكبدي، الحمل، الإرضاع، مراعاة الإيقاف التدريجي، البورفيريا",
22,HaziCavidFort _ 20,,20,,35,"calciunCarbonate 2,500mg+vitD3 22mcg / sachet",,,,,
23,PonySyr _ 40gr(40 aplication),,40gr(40 aplication),,35,لاصق بدلات اسنان اصطناعية,,,,,
24,AdacortN _ 20 / 1.5gr,,20 / 1.5gr,,9,neomycin 0.25%+triamcinolone 0.1%,,,,,
25,Adamycin _ 10 s / 3gr,,10 s / 3gr,,9,econazole 1%+neomycin 0.25%+triamcinolone 0.1%,الأدوية الجلدية,معالجة الإصابات الجلدية الفطرية والجرثومية المختلطة [يطبق 2 ـ 3 مرات/يوم],"ضمور الجلد، توسع وعائي موضعي، تهيج الجلد، نقص تصبغ، شعرانية","الاستعمال المديد عند الأطفال والرضع، الجروح المفتوحة، القروح، القناة الخارجية للأذن عند انثقاب غشاء الطبل، الحذر عند الاستعمال على الوجه والمناطق الجلدية الحساسة، الداء السكري، يجب مراعاة الإيقاف التدريجي",
26,Sulcrate 1 _ 20 / 1gr,1,20 / 1gr,,15,sucralfate 1gr / sachet,الأدوية الهضمية,"المعالجة قصيرة الأمد للقرحة الهضمية، التهاب المعدة الحاد والمزمن [مضغوطة أو ظرف واحد 4 مرات/يوم] قبل الطعام بساعة وعند النوم","غثيان، قياء، سوء الهضم، جفاف الفم، إمساك، إسهال","الإرضاع، اضطراب وظيفة الكلية، الفصل بينه وبين باقي الأدوية بساعتين","الديجوكسين، الفينيتوئين، التتراسكلين، الوارفارين، السميتيدين"
27,Mucothol 150 _ 20,150,20,,15,methyl di acetyl cysteine 150mg / sachet,,,,,
28,Mucothol 150 _ 100,150,100,,15,methyl di acetyl cysteine 150mg / sachet,,,,,
29,Mucothol 150 _ 10,150,10,,15,methyl di acetyl cysteine 150mg / sachet,,,,,
30,Guanet 2 _ 15,2,15,,39,guarin 2gr / sachet,,,,,
31,Nifidine 10 _ Tab,10,Tab,,3,nifedipine 10mg,الأدوية القلبية والوعائية,"آلام الذبحة الصدرية، نقص التروية الدموية في الشرايين التاجية، فرط ضغط الدم [مضغوطة 3 مرات/يوم]","تعب، دوار، غثيان",في حالة نوبة الذبحة الصدرية إبقاء المضغوطة في الفم بعض الوقت بعد مضغها,"الكينيدين، الريفامبيسين، الفينيتوئين، البرازوسين، حاصرات مستقبلات بيتا، الديجوكسين، أملاح المغنزيوم"
32,Emessa _ 45gr pdr-,,45gr pdr-,,55,camphor+menthol+salicylic acid+talc+zinc oxide,,,,,
33,Emessa _ 60gr pdr-,,60gr pdr-,,55,camphor+menthol+salicylic acid+talc+zinc oxide,,,,,
34,Glycolax _ 20,,20,powder,15,ethyleneGlycol+potassiumChloride 23.3mg+sodiumBiCarbonate 89.25mg+sodiumChloride 175.35mg / sachet,,,,,
35,Guarin 5 _ 20 / 5gr,5,20 / 5gr,,15,guarin 5gr / sachet,الهرمونات,عامل مساعد في علاج الداء السكري غير المعتمد على الأنسولين [ظرف في كأس ماء ثلاث مرات/يوم قبل أو أثناء الطعام],اضطرابات هضمية,,فينوكسين ميتيل بنسيلين
36,Laxy 5 _ 10 / 5gr,5,10 / 5gr,,15,lactulose 5gr / sachet,الأدوية الهضمية,"معالجة الإمساك المزمن، حالات اعتلال الدماغ الكبدي (السبات، ما قبل السبات) [للكبار 1-2 ظرف مرتين/يوم]","نفخة، غثيان، قياء، إسهال، نادراً حكة مع آلام شرجية","الإرضاع، الداء السكري، قد يحدث فقدان في بعض الشوارد","البوتاسيوم، الصادات الحيوية"
37,Chloroquine 500 _,500,,0,3,chloroquine phosphate 500mg,مضادات العوامل الإنتانية,"معالجة الملاريا والوقاية منها [للكبار 1 غ جرعة أولى تتبع بـ500 ملغ بعد 6ـ8 ساعات وتكرر في اليوم الثاني والثالث، الأطفال: 10 ملغ أساس/كغ جرعة أولى ثم 5 ملغ/كغ بعد6-8 ساعات وتكرر في اليوم الثاني والثالث، للوقاية 500ملغ كجرعة وحيدة أسبوعياً تبدأ قبل دخول الم","اضطرابات هضمية، اختلاجات، اضطراب الرؤيا، تساقط الشعر، تثبيط نقي العظام، صداع","القصور الكبدي، القصور الكلوي، الحمل، عوز خميرة G6PD، الإضطرابات الهمضية الحادة","مضادات الحموضة، الكاؤلان، الاميودارون، الديجوكسين، السيكلوسبورين ،النيوستغمين، مضادات الصرع"
38,Razimol 500 _ 500 oval-,500,500 oval-,,33,paracetamol 500mg,مضادات الألم,"تسكين الألم وتخفيض الحرارة لاسيما عند المرضى المتحسسين للأسبرين أو لديهم استعداد للنزف [الرضع دون 3 أشهر 10 ملغ/كغ /يوم، 3 أشهر – سنة 60-120 ملغ أو نصف ملعقة صغيرة 3-4 مرات /يوم، 1-5 سنوات 120-250 ملغ أو ملعقة صغيرة 3-4 مرات /يوم، 6-12 سنة 250 ملغ أو ملعق","طفح، اندفاعات تحسسية، نقص صفيحات الدم، نقص الكريات البيض","القصور الكلوي، القصور الكبدي، الذين لديهم استعداد للنزف (قرحة، التهاب معدة)","مضادات التخثر،الدومبيريدون، الميتوكلوبراميد، الكولسترامين"
39,Locavioform _ 15ml ear drop,,15ml ear drop,,31,clioquinol ( vioform ) 1%+flumethasone pivalate 0.02%,,,,,
40,ColoClean _ 4 / 68.6gr,,4 / 68.6gr,,5,NaHCO3 1.7gr+NaCl 1.5gr+Na2SO4 5.7gr+KCl 0.7gr+PEG 59gr / sach,,,,,
41,ColoLax _ 30,,30,,5,"KCl 46.6mg+NaCl 46.6mg+PEG 13,125mg+bicarbonate sodium 178mg / sach",,,,,
42,Guarium 5 _ 20,5,20,,36,guarin 5gr / sachet,,,,,
43,Kanalith _ 8 / 10gr,,8 / 10gr,,13,lithium carbonate 0.2gr+bicarbonate sodium 5gr+tartaric acid 4.5gr / sachet,,,,,
44,KanavitC _ 10,,10,,13,vitC 500mg / sachet,,,,,
45,Uraline _ 10 /4gr,,10 /4gr,,13,citric acid 720mg+sodium bicarbonat 1760mg+sodium citrat 630mg+tartaric acid 890mg/sach,,,,,
46,UralineFort _ 8 /10gr,,8 /10gr,,13,citric acid 0.1gr+bicarbonate sodium 4.96gr+tartaric acid 4.21gr / sach,,,,,
47,Mucolys granules 200 _ 10,200,10,,36,methyl di acetyl cysteinate 200mg / sachet,أدوية جهاز التنفس,"حل البلغم والمخاط في حالة الرشح، الربو القصبي، التهاب القصبات، تنظيم الإفرازات القصبية في الالتهابات الرئوية المترافقة مع فرط الإفراز [للكبار 200 ملغ 3 مرات/يوم، للأطفال 200 ملغ/يوم]","غثيان، قياء، تشنج قصبي",,
48,Kanagenic _ 10,,10,,13,Al & K sulfate 0.25gr+NaCl 7.25gr+sodium perborate 3.5gr / sach,,,,,
49,Vitagran _ 20,,20,,65,vitB1 3mg+B2 2mg+B6 3mg+B12 0.1mg+C 25mg+PP 5mg+Ca 5mg / sachet,المحاليل الوريدية والأملاح المعدنية,معالجة نقص فيتامينات B والوقاية منها [ظرف/يوم],"اضطرابات هضمية، جلدية، تحسسية، عوارض عصبية، هبوط ضغط دم عابر، تلون البول باللون الأصفر","الاضطرابات الهضمية، أمراض سوء امتصاص الحديد","التتراسيكلين، الليفودوبا"
50,"CVital 1,000 _ 12",1000,12,,65,"vitC 1,000mg",,,,,
51,Danestine 200 _ 12,200,12,,65,acetylcesteine 200mg,أدوية جهاز التنفس,"عامل مساعد في معالجة التهابات الجيوب الأنفية الحادة والتهاب الأذن الوسطى، حل البلغم والمخاط في حالة الرشح، الربو القصبي، التهاب القصبات، تنظيم الإفرازات القصبية في الالتهابات الرئوية المترافقة مع فرط الإفراز [للكبار 200 ملغ 3 مرات/يوم، للأطفال دون السنتين","غثيان، قياء، تشنج قصبي",عدم إضافة أية أدوية أخرى إلى محلول المستحضر,
52,FluOut _ 6,,6,,20,chlorpheniramine 4mg+dextromethorphan 20mg+paracetamol 650mg+ps-ephedrine 60mg / sachet,,,,,
53,FluOutD _ 6,,6,,20,chlorpheniramine 4mg+paracetamol 650mg+ps-ephedrine 60mg / sachet,,,,,
54,FluOutFort _ 6,,6,,20,"chlorpheniramine 4mg+paracetamol 1,000mg+ps-ephedrine 60mg / sachet",,,,,
55,FluOutFortC _ 6,,6,,20,"chlorpheniramine 4mg+dextromethorphan 30mg+paracetamol 1,000mg+ps-ephedrine 60mg / sachet",,,,,
56,FluOutFortND _ 6,,6,,20,"dxtromthorphan 30mg+paracetamol 1,000mg+ps-phedrine 60mg / sachet",,,,,
57,EfferviRim 500 _ 10,500,10,,59,vitC 500mg,,,,,
58,Kalirim 965 _ 10,965,10,,59,"citric acid 1,200mg+KHCO3 965mg+sodium citrate 835mg / sachet",,,,,
59,"CVRim 1,000 _ 10",1000,10,,59,"vitC 1,000mg",,,,,
60,HydroSK _ 10,,10,,59,glucose 10gr+KCl 0.75gr+NaCl 1.75gr+sodium citrate 1.45gr / sachet,,,,,
61,RimC 500 _ 10,500,10,,59,vitC 500mg / sachet,,,,,
62,"Vitasorporim 1,000 _ 10",1000,10,,59,"vitC 1,000mg / sachet",,,,,
63,Lesterol _ 10,,10,,59,"psyllium 3,400mg / sachet",,,,,
64,Kenos _ 10 / 1gr,,10 / 1gr,,65,citric acid 432mg+bicarbonate sodium 458mg / sachet,الأدوية الهضمية,سوء الهضم [معلقة صغيرة ثلاث مرات / يوم] بعد حله بالماء,قياء,الاستعمال بكميات كبيرة,
65,Kidrws _ 12,,12,,65,Mg sulfate 176mg+bicarbonate sodium 423mg+tartaric acid 400mg / gr,الأدوية الهضمية,"سوء الهضم والحرقة، الامساك [ملعقة كبيرة 3 مرات /يوم] بعد حله بالماء",قياء,الاستعمال بكميات كبيرة,
66,Kidrws _ 24,,24,,65,Mg sulfate 176mg+bicarbonate sodium 423mg+tartaric acid 400mg / gr,الأدوية الهضمية,"سوء الهضم والحرقة، الامساك [ملعقة كبيرة 3 مرات /يوم] بعد حله بالماء",قياء,الاستعمال بكميات كبيرة,
67,Kinadol 500 _ 100,500,100,,65,paracetamol 500mg / sachet,مضادات الألم,"تسكين الألم وتخفيض الحرارة لاسيما عند المرضى المتحسسين للأسبرين أو لديهم استعداد للنزف [الرضع دون 3 أشهر 10 ملغ/كغ /يوم، 3 أشهر –سنة 60-120 ملغ 3-4 مرات /يوم، 1-5 سنوات 120-250 ملغ 3-4 مرات /يوم، 6-12 سنة 250-500 ملغ 3–4 مرات /يوم]","طفح، اندفاعات تحسسية، نقص صفيحات الدم، نقص الكريات البيض","القصور الكلوي، القصور الكبدي، الذين لديهم استعداد للنزف (قرحة، التهاب معدة)","مضادات التخثر، الدومبيريدون، الميتوكلوبراميد، الكولسترامين"
68,Kinadol 500 _ 10,500,10,,65,paracetamol 500mg / sachet,مضادات الألم,"تسكين الألم وتخفيض الحرارة لاسيما عند المرضى المتحسسين للأسبرين أو لديهم استعداد للنزف [الرضع دون 3 أشهر 10 ملغ/كغ /يوم، 3 أشهر –سنة 60-120 ملغ 3-4 مرات /يوم، 1-5 سنوات 120-250 ملغ 3-4 مرات /يوم، 6-12 سنة 250-500 ملغ 3–4 مرات /يوم]","طفح، اندفاعات تحسسية، نقص صفيحات الدم، نقص الكريات البيض","القصور الكلوي، القصور الكبدي، الذين لديهم استعداد للنزف (قرحة، التهاب معدة)","مضادات التخثر، الدومبيريدون، الميتوكلوبراميد، الكولسترامين"
69,Almadyl _ 20 loz,,20 loz,,57,dequalinium 0.25mg+dibucaine 0.03mg / loz,,,,,
70,Avosept 0.5 _ 20 loz,0.5,20 loz,,7,dequalinium hydrochloride 0.5mg,,,,,
71,ClotrimazoleP _ 50gr powder,,50gr powder,,41,clotrimazole 1%,الأدوية الجلدية,"معالجة إنتانات الجلد الفطرية، التهاب الأذن الفطري، داء المبيضات المخاطية الجلدية، النخالية المبرقشة، الفطار الجلدي [يطبق 2 ـ 3 مرات/يوم مدة 2 ـ 4 أسابيع]","تخريش، حرقة",,
72,Vinetal _ 50gr tube,,50gr tube,,28,pilewort extract / contour cream,,,,,
75,Oralcid 2% _ 225ml gargle,2%,225ml gargle,,28,chlorhexidine 2%,,,,,
76,Oralgic _ 24 loz,,24 loz,,28,benzoxonium 1mg+lidocaine 1mg / loz,,,,,
77,Bran _ 200gr / cartoon,,200gr / cartoon,,3,bran powder,,,,,
78,Newlax 7.5 _ 15ml o-d/plst,7.5,15ml o-d/plst,,37,bisacodyl 7.5mg / ml,,,,,
79,Neolax 10 _ 15ml o-d/plst,10,15ml o-d/plst,,37,bisacodyl 10mg / ml,الأدوية الهضمية,"معالجة حالات الإمساك المختلفة [للكبار 10-15 نقطة، للأطفال 2-5 نقطة]","صداع، غثيان، تعب","تجنب الاستعمال المديد، الحمل، القصور الكلوي",مقبضات الأوعية ورافعات ضغط الدم
80,Paradontal _ 50ml oral-wash,,50ml oral-wash,,52,خلاصات نباتية معقمة للفم,,,,,
81,Paradontal _ 20ml oral-wash,,20ml oral-wash,,52,خلاصات نباتية معقمة للفم,,,,,
82,BabySpasm 0.0625 _ 15ml o-d/plst,0.0625,15ml o-d/plst,,30,hyoscyamine 0.0625mg / ml,الأدوية الهضمية,"تشنجات الأنبوب الهضمي والطرق الصفراوية، تشنجات الجهاز البولي، الحصى البولية والصفراوية، عسر الطمث، التشنجات الولادية، المعالجة العرضية للقرحات الهضمية، فرط حركية الأمعاء، الإمساك التشنجي، تشنج البواب عند الأطفال، القيء التالي للعمليات الجراحية [الأطفال 0.","جفاف الفم، إمساك، احتباس البول، نعاس، كثافة المفرزات القصبية، نادراً : عنانة، اتساع الحدقة، هبوط ضغط الدم","قيادة الآليات، القصور الكبدي، القصور الكلوي، القصور الإكليلي، اضطراب نظم القلب، التهاب القصبات المزمن، الحمل، الإرضاع، فرط نشاط الدرق، ضخامة الموثة، الكحول","مضادات الاكتئاب ثلاثية الحلقة، مضادات داء باركنسون، الفينوثيازينات، مضادات التحسس، الغوانيدين، الأمانتدين، الوارفارين، الديزوبيراميد"
83,Flatol 66 _ 15ml o-d/plst,66,15ml o-d/plst,,30,simethicone 66mg / ml,,,,,
84,MyconazolPlus _ 20gr creram,,20gr creram,,55,econazole 2%+hydrocortisone 1%,الأدوية الجلدية,معالجة الاصابات الجلدية الفطرية الناتجة عن المبيضات البيض والنخالية المبرقشة [يدهن 2ـ3 مرات/يوم] لمدة 14 يوم,"تخريش، حساسية، حرقة، قد يحدث التهاب جلد تماسي","القصور الكلوي، القصور الكبدي","الفينيتوئين، خافضات سكر الدم الفموية، مضادات التخثر الفموية"
85,Dexamed 0.1% _ 10ml i+e+n-d/plst,0.1,10ml i+e+n-d/plst,,53,dexamethasone 1mg / ml,الأدوية العينية,"الالتهابات المستجيبة للستيروئيدات في الملتحمة الجفنية والبصلية، والقرنية، والقسم الأمامي من المقلة (التهاب الملتحمة التحسسي، العد الوردي، التهاب القرنية المنفط السطحي، التهاب القرنية الحلئي النطاقي، التهاب القزحية، التهاب الجسم الهدبي)، أذيات القرنية (ال","الحمل، الإرضاع، الأطفال، قد يسبب الاستعمال المديد (زرق مع أذية العصب البصري، خلل في حدة البصر، تشكل الساد تحت المحفظي الخلفي، انثقاب في القرنية والصلبة عند المصابين بترققهما)، مراقبة الضغط داخل العين عند استخدامه لأكثر من 10 أيام",,"إنتانات ثانوية، ارتفاع الضغط داخل العين، نادراً شعور بالوخز وحرقة"
86,"Nifidine 10 _ 1,000 c-t / bottle",10,"1,000 c-t / bottle",,3,nifedipine 10mg,الأدوية القلبية والوعائية,"آلام الذبحة الصدرية، نقص التروية الدموية في الشرايين التاجية، فرط ضغط الدم [مضغوطة 3 مرات/يوم]","تعب، دوار، غثيان",في حالة نوبة الذبحة الصدرية إبقاء المضغوطة في الفم بعض الوقت بعد مضغها,"الكينيدين، الريفامبيسين، الفينيتوئين، البرازوسين، حاصرات مستقبلات بيتا، الديجوكسين، أملاح المغنزيوم"
87,Osmo 4 _ 13.9gr x 5 sach,4,13.9gr x 5 sach,,3,glucose 10gr+KCl 0.75gr+chloride sodium 1.75gr+sodium citrate 1.4gr / sach,المحاليل الوريدية والأملاح المعدنية,"تعويض الشوارد أثناء معالجة الإسهال، يجب استخدام محلول محضر حديثاً دائماً",,"القصور الكلوي، القصور القلبي",
88,Osmo 4 _ 13.9gr x 100 sach,4,13.9gr x 100 sach,,3,glucose 10gr+KCl 0.75gr+chloride sodium 1.75gr+sodium citrate 1.4gr / sach,المحاليل الوريدية والأملاح المعدنية,"تعويض الشوارد أثناء معالجة الإسهال، يجب استخدام محلول محضر حديثاً دائماً",,"القصور الكلوي، القصور القلبي",
89,Fulvin 125 _ 50,125,50,0,3,griseofulvin fine particles 125mg,مضادات العوامل الإنتانية,"معالجة الإصابة الفطرية في الجلد وملحقاته (الفطر الجلدي البشروي، الفطر الشعري، السعفة، فطور شعر الرأس، داء الأظافر الفطري) [للكبار مضغوطة 4 مرات/يوم. الجرعة القصوى 2 غ/يوم، الأطفال 125-250 ملغ/يوم بعد الطعام]","اضطرابات هضمية، صداع، أعراض تحسسية","الذئبة الحمامية الجهازية، الإرضاع","مضادات التخثر، الفينوباربيتال، البريميدون، السيكلوسبورين، مانعات الحمل الفموية"
90,Ventolin 4 _ 20,4,20,0,7,salbutamol 4mg,أدوية جهاز التنفس,"توسيع القصبات في حالات الربو، انتفاخ الرئة، التهاب القصبات المزمن [للكبار 4 ملغ 3-4 مرات/يوم ، للأطفال 2-6 سنوات 1-2 ملغ 3 ـ 4 مرات/يوم، 6-12 سنة 2 ملغ 3 ـ 4 مرات/يوم، فوق 12 سنة 2-4 ملغ، 3-4 مرات/يوم]","رعشة خفيفة في العضلات المخططة، توسع أوعية دموية في الأطراف، توتر عصبي، صداع، خفقان","الانسمام الدرقي، الحمل، مراقبة سكر الدم عند السكريين، أمراض القلب الوعائية","الديجوكسين، الثيوفيللين، الستيروئيدات القشرية، المدرات"
91,Ventolin 2 _ 20,2,20,0,7,salbutamol 2mg,أدوية جهاز التنفس,"توسيع القصبات في حالات الربو، انتفاخ الرئة، التهاب القصبات المزمن [للكبار 4 ملغ 3-4 مرات/يوم ، للأطفال 2-6 سنوات 1-2 ملغ 3 ـ 4 مرات/يوم، 6-12 سنة 2 ملغ 3 ـ 4 مرات/يوم، فوق 12 سنة 2-4 ملغ، 3-4 مرات/يوم]","رعشة خفيفة في العضلات المخططة، توسع أوعية دموية في الأطراف، توتر عصبي، صداع، خفقان","الانسمام الدرقي، الحمل، مراقبة سكر الدم عند السكريين، أمراض القلب الوعائية","الديجوكسين، الثيوفيللين، الستيروئيدات القشرية، المدرات"
92,Ventolin 2 _ 100,2,100,0,7,salbutamol 2mg,أدوية جهاز التنفس,"توسيع القصبات في حالات الربو، انتفاخ الرئة، التهاب القصبات المزمن [للكبار 4 ملغ 3-4 مرات/يوم ، للأطفال 2-6 سنوات 1-2 ملغ 3 ـ 4 مرات/يوم، 6-12 سنة 2 ملغ 3 ـ 4 مرات/يوم، فوق 12 سنة 2-4 ملغ، 3-4 مرات/يوم]","رعشة خفيفة في العضلات المخططة، توسع أوعية دموية في الأطراف، توتر عصبي، صداع، خفقان","الانسمام الدرقي، الحمل، مراقبة سكر الدم عند السكريين، أمراض القلب الوعائية","الديجوكسين، الثيوفيللين، الستيروئيدات القشرية، المدرات"
93,Sotalol 80 _ 20,80,20,0,7,sotalol 80mg,,,,,
94,Sotalol 160 _ 20,160,20,0,7,sotalol 160mg,,,,,
95,Amapride 2 _ 30,2,30,0,7,glimepiride 2mg,,,,,
96,Amapride 1 _ 30,1,30,0,7,glimepiride 1mg,,,,,
